experiment_id,group_or_files,dataset,particle,modalities,role,stage_type,paper_section,selection_metric,include_level,validation_policy,test_policy,status,source_files,notes
D1,dataset_analysis,Alpha_100;Proton_C,alpha;proton,ToT;ToA,dataset_context,diagnostic,Dataset and task definition,not_applicable,context,not_for_model_selection,not_for_model_selection,completed,outputs/analysis_report.md;outputs/data_analysis,数据集结构;类别分布;代表样本;物理背景说明
D2,resolution_limit,Proton_C,proton,ToT,diagnostic,analysis,Dataset limitation discussion,not_applicable,discussion,not_for_model_selection,not_for_model_selection,completed,outputs/analysis_report.md;outputs/resolution_limit,近垂直80到90度分辨极限分析;不混入Proton_C_7训练主线
A1,a1_structure_adaptation,Alpha_100,alpha,ToT,screening,architecture_search,Baseline construction,validation_accuracy,appendix,used_for_structure_choice,report_only,completed,outputs/a1_structure_adaptation_summary.csv;outputs/experiments/a1_structure_adaptation,ResNet18 stem结构初筛;no_maxpool和kernel=2 stride=1是结构结论;dropout不作为A1主分析
A2,a2_hparam_search_training,Alpha_100,alpha,ToT,screening,hparam_search,Baseline construction,validation_accuracy,appendix,used_for_hparam_choice,report_only,completed,outputs/experiments/a2_hparam_search_training,Alpha训练超参数搜索;为A2-best提供训练配置
A2-best,a2_best_3seed,Alpha_100,alpha,ToT,baseline,three_seed_verification,Baseline construction,validation_accuracy,main_table,model_selection_baseline,final_generalization_report,completed,outputs/experiments/a2_best_3seed,Alpha ToT-only正式baseline;后续Alpha实验对照对象
A3,a3_backbone_comparison_seed42,Alpha_100,alpha,ToT,screening,architecture_comparison,Baseline construction,validation_accuracy,appendix,used_for_backbone_choice,report_only,completed,outputs/experiments/a3_backbone_comparison_seed42,主干模型比较;支持resnet18_no_maxpool作为主干
A3-legacy,a3_backbone_comparison_50,Alpha_100,alpha,ToT,excluded,legacy_or_confusing_run,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,completed,outputs/experiments/a3_backbone_comparison_50,后缀50版本不作为正式分析;避免与seed42正式版本混淆
A4,a4_modality_comparison_seed42,Alpha_100,alpha,ToT;ToA;ToT+ToA,screening,modality_comparison,Alpha multimodal fusion,validation_accuracy,appendix_or_support,used_for_modality_screening,report_only,completed,outputs/experiments/a4_modality_comparison_seed42,基础模态比较;确认ToT强于原始ToA和朴素双通道
A4-legacy,a4_modality_comparison_50,Alpha_100,alpha,ToT;ToA;ToT+ToA,excluded,legacy_or_confusing_run,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,completed,outputs/experiments/a4_modality_comparison_50,后缀50版本不作为正式分析
A4b-1,a4b_toa_transform_seed42,Alpha_100,alpha,ToT+ToA,screening,toa_transform_screening,Alpha multimodal fusion,validation_accuracy,appendix_or_support,used_for_transform_choice,report_only,completed,outputs/experiments/a4b_toa_transform_seed42,筛选ToA表达;relative_minmax_no_mask成为候选互补分支
A4b-candidate,a4b_4e_relative_minmax_no_mask_seed43_44,Alpha_100,alpha,ToT+ToA,screening,candidate_completion,Alpha multimodal fusion,validation_accuracy,appendix_or_support,used_to_complete_candidate_seeds,report_only,completed,outputs/experiments/a4b_4e_relative_minmax_no_mask_seed43_44,补齐relative_minmax_no_mask候选分支seed43和seed44
A4b-2-3,outputs/a4b_prediction_complementarity_seed42*;outputs/a4b_oracle_complementarity_seed42*,Alpha_100,alpha,ToT;ToT+ToA,diagnostic,complementarity_analysis,Alpha multimodal fusion,validation_oracle_diagnostic,discussion,diagnostic_only,diagnostic_only,completed,outputs/a4b_prediction_complementarity_seed42_summary.csv;outputs/a4b_oracle_complementarity_seed42_localcheck_summary.csv,互补性和oracle上限诊断;不作为可部署模型
A4b-4,outputs/a4b_4a*;outputs/a4b_4b*;outputs/a4b_4c*;outputs/a4b_4d*;outputs/a4b_4e_rule_selector*,Alpha_100,alpha,ToT;ToT+ToA,diagnostic,selector_diagnostic,Alpha multimodal fusion,validation_selected_rule,discussion_or_appendix,validation_selects_rule,test_reports_rule,completed,outputs/a4b_4e_rule_selector_mean_std.csv,hard rule和logit selector诊断;说明简单selector不够强
A4b-5,outputs/a4b_5_gated_late_fusion*,Alpha_100,alpha,ToT;ToT+ToA,main_result,three_seed_posthoc_fusion,Alpha multimodal fusion,validation_selected_selector,main_table,validation_selects_gate_strategy,final_generalization_report,completed,outputs/a4b_5_gated_late_fusion_mean_std.csv,Alpha多模态expert-level主结果之一;validation-selected gated late fusion
A4b-6,outputs/a4b_6_residual_gated_fusion*,Alpha_100,alpha,ToT;ToT+ToA,main_result,three_seed_posthoc_fusion,Alpha multimodal fusion,validation_selected_residual,main_table,validation_selects_residual_strategy,final_generalization_report,completed,outputs/a4b_6_residual_gated_fusion_mean_std.csv,Alpha多模态residual gated对照;validation表现强但test不一定最高
A4c-1-3,a4c_end_to_end_bimodal_fusion,Alpha_100,alpha,ToT+ToA,main_result,three_seed_end_to_end_fusion,Alpha multimodal fusion,validation_accuracy,main_table,validation_selects_model,test_reports_generalization,completed,outputs/a4c_end_to_end_bimodal_fusion_runs.csv;outputs/a4c_end_to_end_bimodal_fusion_mean_std.csv,端到端双模态concat/GMU/FiLM;重点是Macro-F1和30度困难类别改善
A4c-4,a4c_warm_started_expert_gate,Alpha_100,alpha,ToT+ToA,diagnostic,three_seed_warm_start_gate,Alpha multimodal fusion,validation_accuracy,discussion_or_appendix,validation_compares_freeze_setting,test_reports_generalization,completed,outputs/a4c_warm_started_expert_gate_runs.csv;outputs/a4c_warm_started_expert_gate_mean_std.csv,warm-start expert gate对照;freeze=true稳定但不是最佳主线
